CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,TARGET,AGE,YEARS_EMPLOYED
1,1,1,0,427500.0,4,1,0,4,1,1,0,0,17,2.0,0,32,12
1,1,1,0,112500.0,4,4,1,1,1,0,0,0,16,2.0,0,58,3
0,0,1,0,270000.0,0,4,3,1,1,0,1,1,14,1.0,0,52,8
0,0,1,0,283500.0,1,1,2,1,1,0,0,0,17,1.0,0,61,0
1,1,1,0,270000.0,4,1,1,1,1,1,1,1,0,2.0,0,46,2
1,1,1,0,135000.0,0,4,1,1,1,0,0,0,8,2.0,0,48,3
0,1,0,0,130500.0,4,2,1,1,1,0,0,0,0,2.0,0,29,3
0,0,1,0,157500.0,4,4,1,1,1,0,1,0,8,2.0,0,27,4
0,0,1,1,112500.0,4,4,3,1,1,0,0,0,17,2.0,0,30,4
1,1,1,3,270000.0,4,4,1,1,1,0,0,0,8,5.0,0,34,3
1,0,1,1,405000.0,0,1,1,1,1,0,0,0,10,3.0,0,32,5
1,1,1,0,112500.0,0,4,1,1,1,0,1,0,4,2.0,0,56,12
0,1,1,2,135000.0,4,4,1,1,1,0,0,0,8,4.0,0,43,8
0,0,1,1,211500.0,2,4,0,1,1,0,0,0,3,3.0,0,44,19
1,1,1,0,360000.0,0,4,1,1,1,0,1,0,16,2.0,0,45,14
0,0,1,2,126000.0,0,1,1,1,1,0,0,1,10,4.0,0,34,4
0,0,1,0,315000.0,1,4,4,1,1,0,0,0,17,1.0,0,55,0
0,0,1,0,247500.0,0,1,2,4,1,0,0,0,3,1.0,0,46,3
0,0,1,0,297000.0,0,4,3,4,1,0,0,0,8,1.0,0,42,8
0,0,0,0,157500.0,0,1,1,1,1,0,1,0,6,2.0,0,37,13
1,0,1,0,135000.0,4,4,1,1,1,1,1,0,4,2.0,0,42,3
1,0,1,1,225000.0,4,4,1,1,1,0,0,0,17,3.0,0,28,7
0,1,1,0,135000.0,4,4,1,1,1,0,0,0,8,2.0,0,48,4
1,0,1,0,157500.0,4,4,1,1,1,0,1,0,17,2.0,0,43,2
0,0,1,0,112500.0,1,4,1,1,1,0,0,0,17,2.0,0,61,0
1,1,1,0,112500.0,2,4,1,1,1,0,1,0,4,2.0,0,57,6
0,1,1,0,270000.0,4,4,2,1,1,1,1,0,1,1.0,0,45,3
0,1,1,0,270000.0,4,1,1,1,1,0,0,1,10,2.0,0,29,2
1,1,1,0,157500.0,4,4,1,1,1,0,0,0,4,2.0,0,27,2
1,0,1,0,166500.0,4,4,1,1,1,1,1,0,8,2.0,0,51,17
0,0,1,2,216000.0,2,1,1,1,1,0,0,1,17,4.0,0,42,8
0,1,1,0,270000.0,0,4,1,1,1,0,0,1,8,2.0,0,54,29
0,1,1,0,225000.0,0,4,1,1,1,0,0,0,8,2.0,0,39,7
0,0,1,0,315000.0,4,4,3,1,1,0,0,0,0,1.0,0,28,3
0,0,0,0,255150.0,1,2,0,4,1,0,0,0,17,2.0,0,51,0
0,0,1,2,157500.0,4,4,3,1,1,0,0,0,3,3.0,0,39,1
0,0,1,0,148500.0,4,1,1,1,1,0,0,0,3,2.0,0,48,2
0,0,1,2,202500.0,4,1,1,1,1,0,0,1,3,4.0,0,30,6
1,0,1,0,202500.0,4,4,3,1,1,1,0,0,4,1.0,0,24,2
0,1,1,0,112500.0,0,4,3,1,1,0,1,1,12,1.0,0,20,2
0,0,1,0,94500.0,1,1,1,1,1,0,1,0,17,2.0,0,61,0
1,1,1,0,315000.0,4,4,0,1,1,0,0,0,14,2.0,0,28,5
0,1,1,0,270000.0,0,2,0,2,1,0,1,1,6,2.0,0,28,8
0,1,1,1,450000.0,2,1,1,1,1,0,1,1,3,3.0,0,48,1
1,0,1,1,180000.0,4,4,1,5,1,0,0,0,4,3.0,0,38,3
0,0,1,0,112500.0,4,1,0,1,1,0,0,1,8,2.0,0,27,8
1,0,1,0,90000.0,4,4,1,1,1,0,0,0,4,2.0,0,56,15
1,1,0,2,202500.0,0,1,1,1,1,0,0,0,8,4.0,0,40,8
1,1,1,0,247500.0,4,4,1,1,1,0,0,0,4,2.0,0,34,11
1,1,1,1,765000.0,4,1,1,1,1,1,0,0,10,3.0,0,33,3
0,0,1,1,270000.0,0,4,1,1,1,0,0,1,0,3.0,0,37,12
0,0,1,0,315000.0,4,1,2,1,1,0,0,0,10,1.0,0,36,1
1,1,1,2,157500.0,4,4,1,5,1,0,1,0,4,4.0,0,35,11
